Post,Sentence,SymptomCriticality,Symptom,Drug
"Increasing amount of bone pain (hips, knees, ankles, hands) and total lack of strength. Hot flashes but less distressing and frequent than when on Tamoxifen. Starting to seriously question whether the impact on my comfort outweighs the benefits which of course remain unproven","increasing amount of bone pain (hips, knees, ankles, hands) and total lack of strength.","Symptoms are possibly bad: symptoms mentioned but no verb found","bone pain",armimidex
"I have been using this drug for 4 years. Had breast cancer in 2007. had a lumpectomy and radiation every day for 7 weeks. I have had some hot flashes joint pain. A total of 6 triger fingers, 4 I had surgery to correct. the surgery was very succesful. Joint pain remains a problem. I have gained over 40#. Head aches pain in the right eye, When I told my Dr. I was thinking about stoping the medicin. He said if I did I would risk the return of cancer and the choice was mine to make. I have gone this long I will try to go 1 more year. I am so glad I am not the only one having these symtoms as I thought I was going nuts. ","joint pain remains a problem.","Symptoms are possibly bad: symptoms mentioned but no verb found","joint pain",armimidex
"I have been using this drug for 4 years. Had breast cancer in 2007. had a lumpectomy and radiation every day for 7 weeks. I have had some hot flashes joint pain. A total of 6 triger fingers, 4 I had surgery to correct. the surgery was very succesful. Joint pain remains a problem. I have gained over 40#. Head aches pain in the right eye, When I told my Dr. I was thinking about stoping the medicin. He said if I did I would risk the return of cancer and the choice was mine to make. I have gone this long I will try to go 1 more year. I am so glad I am not the only one having these symtoms as I thought I was going nuts. ","head aches pain in the right eye, when i told my dr.","Symptoms are bad: Presence of negative verb + symptoms",pain,armimidex
"They should have named it ""ARIMIDEATH"" This is a horrible med and causes prolonged painful side effects. Would not give this to my worst enemy. Don't know why it is on the market, should be banned!!!","they should have named it ""arimideath"" this is a horrible med and causes prolonged painful side effects.","Symptoms are possibly bad: symptoms mentioned but no verb found",pain,armimidex
"Since taking Arimidex I have had hot flashes, joint pain, weight gain, and memory loss. I fractured a rib by just bending over to pick something up off the floorboard of my car.  I walk like I am 90 years old and the mornings are the worse.  I have 2 1/2 more years on the medicine. My oncologist changed me to Femara but the pain in my knees and hips were worse than on the Arimidex so I switched back.","my oncologist changed me to femara but the pain in my knees and hips were worse than on the arimidex so i switched back.","Symptoms are possibly bad: symptoms mentioned but no verb found",pain,armimidex
"I have been on this drug almost 4yrs. As with many other ladies I have experienced joint pain in my hips and knees.  I also have noticed hair loss, insomnia and constipation. I was part of a clinical study group and will be taking arimidex for 5 yrs.  If it does the job it will be well worth some of the side effects.","as with many other ladies i have experienced joint pain in my hips and knees.","Symptoms are possibly bad: symptoms mentioned but no verb found","joint pain",armimidex
"I have been on this drug almost 4yrs. As with many other ladies I have experienced joint pain in my hips and knees.  I also have noticed hair loss, insomnia and constipation. I was part of a clinical study group and will be taking arimidex for 5 yrs.  If it does the job it will be well worth some of the side effects.","i also have noticed hair loss, insomnia and constipation.","Symptoms are possibly bad: symptoms mentioned but no verb found",constipation,armimidex
"Mastectomy at 49 followed by chemotherapy 6 Month (I thought that was it).  Cancer returned at 62. The turmor was removed and followed by radiation treatment.  This followed by Arimidex.  I have been taking it for 5 years.  Some discomforts like hot flashes, body aches, etc. but these seem to have deminished as the years went by.  So far, it seems to be helping.
One important factor I think is that I didn't and still don't dwell on the cancer and I never stopped working or doing things due to the cancer. Only family knew of my condition.  I wore a wig.  I also choose to not give it any excessive attention.  I do get a check-up once a year and a mammogram/ultra sound about every two years.  Life goes on.  The journey continues.","some discomforts like hot flashes, body aches, etc.","Symptoms are possibly bad: symptoms mentioned but no verb found","hot flashes",armimidex
"Have been on Arimidex for almost 3 years and did not have some of the problems reported by others., When pain in my arm & shoulder developed for no apparent reason I stopped taking Arimidex for a little over one month. I then went back on it a few months ago but for the past week the pain (when I move) in my lower back, left hip and knee is unbearable. Not sure if it is the Arimidex, but as of today I'm not taking it. 

Has anyone tolerated it for a long period of time, then believe the extreme pain is caused by the Arimidex?  I would appreciate any comments. ","have been on arimidex for almost 3 years and did not have some of the problems reported by others., when pain in my arm & shoulder developed for no apparent reason i stopped taking arimidex for a little over one month.","Symptoms are possibly bad: symptoms mentioned but no verb found",pain,armimidex
"Have been on Arimidex for almost 3 years and did not have some of the problems reported by others., When pain in my arm & shoulder developed for no apparent reason I stopped taking Arimidex for a little over one month. I then went back on it a few months ago but for the past week the pain (when I move) in my lower back, left hip and knee is unbearable. Not sure if it is the Arimidex, but as of today I'm not taking it. 

Has anyone tolerated it for a long period of time, then believe the extreme pain is caused by the Arimidex?  I would appreciate any comments. ","i then went back on it a few months ago but for the past week the pain (when i move) in my lower back, left hip and knee is unbearable.","Symptoms are possibly bad: symptoms mentioned but no verb found",pain,armimidex
"Have been on Arimidex for almost 3 years and did not have some of the problems reported by others., When pain in my arm & shoulder developed for no apparent reason I stopped taking Arimidex for a little over one month. I then went back on it a few months ago but for the past week the pain (when I move) in my lower back, left hip and knee is unbearable. Not sure if it is the Arimidex, but as of today I'm not taking it. 

Has anyone tolerated it for a long period of time, then believe the extreme pain is caused by the Arimidex?  I would appreciate any comments. ","has anyone tolerated it for a long period of time, then believe the extreme pain is caused by the arimidex?","Symptoms are possibly bad: symptoms mentioned but no verb found",pain,armimidex
"Double mastectomy in 2009. Started on Arimidex, switched to Tamoxifen now back on Arimidex. Had to stop because of the cost. I found that the side effects were no worse than Tamoxefin. Now I have found Healthwarehouse, an online pharmacy in Ohio highly rated by the better business bureau. They specialize in generic drugs. I get 120pills for $76.00. Hot flashes are less than Tamox, bone pain and insomnia, but I can tolerate anything to keep cancer away.","hot flashes are less than tamox, bone pain and insomnia, but i can tolerate anything to keep cancer away.","Symptoms are bad: Presence of negative verb + symptoms","bone pain",armimidex
"Started a year and a half ago. I am only 49 now but felt like 90. Really bad joint and muscle pain, esp around hip area, bad flashes, dryness. Everything kind of toned down after a while and with Effexor was doing pretty good. Now the generic is out which is a fraction of the cost and is supposed to be the exact thing. Well it is not. I have had all the symptoms return and then some. Headache, more fatigue, depression, and can hardly walk sometimes. I am very active-dance, ride a bike, walk the dog. I am miserable and not that glad to be alive, because I don't have the energy to enjoy it. I am going to switch to Tamoxifen and if that doesn't improve things then I am rolling the dice.","really bad joint and muscle pain, esp around hip area, bad flashes, dryness.","Symptoms are possibly bad: symptoms mentioned but no verb found","muscle pain",armimidex
"Started a year and a half ago. I am only 49 now but felt like 90. Really bad joint and muscle pain, esp around hip area, bad flashes, dryness. Everything kind of toned down after a while and with Effexor was doing pretty good. Now the generic is out which is a fraction of the cost and is supposed to be the exact thing. Well it is not. I have had all the symptoms return and then some. Headache, more fatigue, depression, and can hardly walk sometimes. I am very active-dance, ride a bike, walk the dog. I am miserable and not that glad to be alive, because I don't have the energy to enjoy it. I am going to switch to Tamoxifen and if that doesn't improve things then I am rolling the dice.","headache, more fatigue, depression, and can hardly walk sometimes.","Symptoms are possibly bad: symptoms mentioned but no verb found",fatigue,armimidex
"20 years cancer free (first time when I was 36), lump removed first time and radiation, second time masectomy with chemo.  Started Arimidex in Dec 2007, have just starting having the numbness in one hand and then my feet, hot flashes, joint pain (mainly ankle) very stiff, will get through this, glad to know that others have the numbness that was really begin to worry me.  Maybe this will help find a cure and our grandchildren will not have to worry about this awful disease.","started arimidex in dec 2007, have just starting having the numbness in one hand and then my feet, hot flashes, joint pain (mainly ankle) very stiff, will get through this, glad to know that others have the numbness that was really begin to worry me.","Symptoms are bad: Presence of negative verb + symptoms","hot flashes",armimidex
"Was glad to find this site, I thought maybe I was losing my mind on this Arimidex. Weight gain, headaches, legs hurt and even breast pain now. I have seriously thought about telling my doctor I don't want to take it anymore. Been a year now, I just hate it. They make it sound like if you dont take it the breast cancer for sure will return. ","weight gain, headaches, legs hurt and even breast pain now.","Symptoms are bad: Presence of negative verb + symptoms","breast pain",armimidex
"They changed my script to generic I have to crush to take or it doesn't disolve in my body. My legs weren't hurting I was feeling better than I had in a while until I discovered why. I have been taking this since mid Nov 2009. So I can't tell how it will do for me.  My hair still doesn't seem like it wants to come back.  My doctor said it was the second half of my chemo, so Ive been preparing for side effects.  I take pain meds for other conditions which helps with the leg pain(bone pain). I'm also having brain issues which I guess is expected from the cancer treatments.  I still have a long way to go with this treatment. 
","i take pain meds for other conditions which helps with the leg pain(bone pain).","Symptoms are possibly bad: symptoms mentioned but no verb found","bone pain",armimidex
"joint pain, ankles and back only 8 months left out of the five years. i am 62, so far it has worked well really can't wait til i get the all clear sign.","joint pain, ankles and back only 8 months left out of the five years.","Symptoms are possibly bad: symptoms mentioned but no verb found","joint pain",armimidex
"I haven't had any side effects. Maybe some joint pain.  I joined an exercise program and it helped my joints.  The cost is the worst thing about Arimidex.","maybe some joint pain.","Symptoms are possibly bad: symptoms mentioned but no verb found","joint pain",armimidex
"I have been on Arimidex since November 2007 after lumpectomy, chemotherapy and radiotherapy. My tumour was grade 3. So far no metastases (fingers crossed). 
I did experience frozen and very painful joints after taking it for a month, I felt like an old woman, I could hardly get up from my chair. I searched on Google and I read somewhere that this drug depletes your body from vitamin D (already low in many women with breast cancer) and that Vitamin D could stop the painful side effects. I got a blood test for vitamin D levels and sure enough it was very low. After I talked with my oncologist and we decided to try a high dose of vitamin D. I took 2000 U a day for a few months, which cleared the symptoms and got my vit D blood levels up, now I am on 1000 U a day and doing great. Thought I'd pass on my experience so somebody else can benefit from it.","i did experience frozen and very painful joints after taking it for a month, i felt like an old woman, i could hardly get up from my chair.","Symptoms are bad: Presence of negative verb + symptoms",pain,armimidex
"I have been on Arimidex since November 2007 after lumpectomy, chemotherapy and radiotherapy. My tumour was grade 3. So far no metastases (fingers crossed). 
I did experience frozen and very painful joints after taking it for a month, I felt like an old woman, I could hardly get up from my chair. I searched on Google and I read somewhere that this drug depletes your body from vitamin D (already low in many women with breast cancer) and that Vitamin D could stop the painful side effects. I got a blood test for vitamin D levels and sure enough it was very low. After I talked with my oncologist and we decided to try a high dose of vitamin D. I took 2000 U a day for a few months, which cleared the symptoms and got my vit D blood levels up, now I am on 1000 U a day and doing great. Thought I'd pass on my experience so somebody else can benefit from it.","i searched on google and i read somewhere that this drug depletes your body from vitamin d (already low in many women with breast cancer) and that vitamin d could stop the painful side effects.","Symptoms are possibly bad: symptoms mentioned but no verb found",pain,armimidex
"I ahve been on Arimidex for a little under a month now.  The side-effects are unbearable at times.  The worst being that I have become Nocturnal.  I am also experiencing Excruciating Back and Joint Pain.  Thank God for heat pads. Less not forget the drepressing also being in the top ten also.  Hot flashes, Sleeplessness, Bask and Joint pain.  I will endure all this in order to remain CANCER FREE.  God Bless you all. And may this Disease be cured one day.","i am also experiencing excruciating back and joint pain.","Symptoms are bad: Presence of negative verb + symptoms","joint pain",armimidex
"As I'm typing this my hands and fingers hurt and are so stiff I can barely type.  Was put on Arimidex for 4 months before I finally told my oncologist-enough! Pain in feet so bad I can barely stand or walk, pain in both knees makes it difficult to walk up and down stairs, pain in both shoulders, memory so bad it frightens me. Oncologist tried to pass it off as ""Oh, sounds like you have rheumatoid arthritis, I'm sending you to a Rheumatologist"", to which I replied, ""No, you're not, this is a side effect of Arimidex, it's chemical not phsiological"".  Just what I need, another doctor appt. NOT!!!!!!! Glad I found these posting which helped me understand where all this pain came from so quickly.  My history...age 50-diagnosed with invasive lobular carcinoma with bone mets, 1 lumpectomy, 3 lymph nodes removed, all cancerous.... one year later... mastectomy, 19 more lymph nodes removed-all cancerous, breast reconstruction with implant, 5 weeks of radiation.  So.....for me, quality of life at this point is important.  I still work a full time job which is physically demanding, used to be very athletic, have gained 25 lbs. in short period of time. Doctor took me off Arimidex, put me on Aromisin for two weeks, no improvement of pain, then back on Tamoxifen. I liked the posting of the women who said she was 52 (my age) but felt 92!!!! Amen!! I think they need to go back to the drawing board and try again.","pain in feet so bad i can barely stand or walk, pain in both knees makes it difficult to walk up and down stairs, pain in both shoulders, memory so bad it frightens me.","Symptoms are possibly bad: symptoms mentioned but no verb found",pain,armimidex
"As I'm typing this my hands and fingers hurt and are so stiff I can barely type.  Was put on Arimidex for 4 months before I finally told my oncologist-enough! Pain in feet so bad I can barely stand or walk, pain in both knees makes it difficult to walk up and down stairs, pain in both shoulders, memory so bad it frightens me. Oncologist tried to pass it off as ""Oh, sounds like you have rheumatoid arthritis, I'm sending you to a Rheumatologist"", to which I replied, ""No, you're not, this is a side effect of Arimidex, it's chemical not phsiological"".  Just what I need, another doctor appt. NOT!!!!!!! Glad I found these posting which helped me understand where all this pain came from so quickly.  My history...age 50-diagnosed with invasive lobular carcinoma with bone mets, 1 lumpectomy, 3 lymph nodes removed, all cancerous.... one year later... mastectomy, 19 more lymph nodes removed-all cancerous, breast reconstruction with implant, 5 weeks of radiation.  So.....for me, quality of life at this point is important.  I still work a full time job which is physically demanding, used to be very athletic, have gained 25 lbs. in short period of time. Doctor took me off Arimidex, put me on Aromisin for two weeks, no improvement of pain, then back on Tamoxifen. I liked the posting of the women who said she was 52 (my age) but felt 92!!!! Amen!! I think they need to go back to the drawing board and try again.","glad i found these posting which helped me understand where all this pain came from so quickly.","Symptoms are ok: Presence of positive verb + symptoms",pain,armimidex
"As I'm typing this my hands and fingers hurt and are so stiff I can barely type.  Was put on Arimidex for 4 months before I finally told my oncologist-enough! Pain in feet so bad I can barely stand or walk, pain in both knees makes it difficult to walk up and down stairs, pain in both shoulders, memory so bad it frightens me. Oncologist tried to pass it off as ""Oh, sounds like you have rheumatoid arthritis, I'm sending you to a Rheumatologist"", to which I replied, ""No, you're not, this is a side effect of Arimidex, it's chemical not phsiological"".  Just what I need, another doctor appt. NOT!!!!!!! Glad I found these posting which helped me understand where all this pain came from so quickly.  My history...age 50-diagnosed with invasive lobular carcinoma with bone mets, 1 lumpectomy, 3 lymph nodes removed, all cancerous.... one year later... mastectomy, 19 more lymph nodes removed-all cancerous, breast reconstruction with implant, 5 weeks of radiation.  So.....for me, quality of life at this point is important.  I still work a full time job which is physically demanding, used to be very athletic, have gained 25 lbs. in short period of time. Doctor took me off Arimidex, put me on Aromisin for two weeks, no improvement of pain, then back on Tamoxifen. I liked the posting of the women who said she was 52 (my age) but felt 92!!!! Amen!! I think they need to go back to the drawing board and try again.","doctor took me off arimidex, put me on aromisin for two weeks, no improvement of pain, then back on tamoxifen.","Symptoms are possibly bad: symptoms mentioned but no verb found",pain,armimidex
"I have been taking Arimidex for a year now and have experienced only joint pain in my hands, some carpal tunnel syndrome-like symptoms and pain in knees when I sit too long and get up. Similar to other complaints, but otherwise I have no side effects and remain cancer-free.","i have been taking arimidex for a year now and have experienced only joint pain in my hands, some carpal tunnel syndrome-like symptoms and pain in knees when i sit too long and get up.","Symptoms are possibly bad: symptoms mentioned but no verb found","joint pain",armimidex
"After taking Arimidex for the past 6 months, the only real complaint I have is terrible lower back pain, and some hip pain, especially in the early a.m.  I can hardly stand up straight when I get out of the bed.  I take the dog and walk for 45 mins. every day, which helps somewhat.  Midmorning I go swim for 45 mins., and this helps a lot.  I'm not getting used to the pain at all, and don't know how I will make it for the full 5 yrs.  Meanwhile, I take calcium and omega-3 fish oil supplements daily, along with a multi.  I also drink one tablespoon of Noni Juice every day.  Thanks for all the input, as it is very helpful.
","after taking arimidex for the past 6 months, the only real complaint i have is terrible lower back pain, and some hip pain, especially in the early a.m.","Symptoms are possibly bad: symptoms mentioned but no verb found","back pain",armimidex
"After taking Arimidex for the past 6 months, the only real complaint I have is terrible lower back pain, and some hip pain, especially in the early a.m.  I can hardly stand up straight when I get out of the bed.  I take the dog and walk for 45 mins. every day, which helps somewhat.  Midmorning I go swim for 45 mins., and this helps a lot.  I'm not getting used to the pain at all, and don't know how I will make it for the full 5 yrs.  Meanwhile, I take calcium and omega-3 fish oil supplements daily, along with a multi.  I also drink one tablespoon of Noni Juice every day.  Thanks for all the input, as it is very helpful.
","i\'m not getting used to the pain at all, and don\'t know how i will make it for the full 5 yrs.","Symptoms are possibly bad: symptoms mentioned but no verb found",pain,armimidex
"Took this drug for 6 mos. after chemo and surgery. Hated the side effects. I couldn't
move if I stayed stationary for more than a few minutes. I couln't stand the pain in my fingers,knees and hips. Switched to Tamoxifen and feel great","i couln\'t stand the pain in my fingers,knees and hips.","Symptoms are possibly bad: symptoms mentioned but no verb found",pain,armimidex
"joint pain, trouble sleeping,weak bones glad my time for taking this drug is almost up","joint pain, trouble sleeping,weak bones glad my time for taking this drug is almost up","Symptoms are possibly bad: symptoms mentioned but no verb found","joint pain",armimidex
"i've experienced lots of hand pain,trigger finger in my both thumbs, my right thumb i can't even bend it any more and its very pain full.i stopped taking it after a year and  half.i also gainedwight while taking this medicine. it was then changed to aromasin and it did the same exact thing.","i\'ve experienced lots of hand pain,trigger finger in my both thumbs, my right thumb i can\'t even bend it any more and its very pain full.i stopped taking it after a year and  half.i also gainedwight while taking this medicine.","Symptoms are possibly bad: symptoms mentioned but no verb found",pain,armimidex
"I have been on Effexor for the past 20 yrs. My dosage went up to 300MG.  At one time ten years ago I tried getting off of the drug due to thoughts it was not working with the help of my Dr.  I was introduced to another drug while getting off of Effexor..  Let me tell you that I could only reach down to 150Mg..  I had to stop, My symptoms of depression got so bad that i thought I was going out of my mind with every side effect possible..
I stopt at 150mg with the help of another medication that was substituted.  
I stayed like that until present when my doctor wanted to take me off of the effexor completely..
he told me he would help me..
well let me tell you it has been hell for me. I have feelings worst the the depression I had upon first starting the Effexor..  I have been completely off of the effexor for 3 months now and considering all my new health problems due to the effexor I refuse to get back on it...
I have become a type 3 diabetec, very high blood pressure getting uncontrolable and cholesteral that I do not want to talk about. The nauseous  and headaches I can go on and on.

 PLEASE I RECOMMEND TO GET OFF OF IT, IT IS A LIFE THREATNING  MEDICATION THAT SH0ULD BE TAKEN OFF THE MARKET   
","the nauseous  and headaches i can go on and on.","Symptoms are possibly bad: symptoms mentioned but no verb found",headache,effexor
"I began taking this medication in 2009 when I was just 13 years old. My psychiatrist had me worked up to 225mg which I was told was the highest recommended dosage, and not too much longer after told me to take two pills, two times a day. This drug has ruined my life and turned me into a drug addict junkie and an awful person. This drug caused me to ruin many relationships in my life, caused multiple over doses and the biggest wake up call of my life. An overdose that put me into a coma for a week and the realization that years of my life were erased by the time I decided to become sober in 2013. It is now August 2015 and I am still obsessed with this drug. I have constant relapse dreams and vivid memories of how this drug made me feel that are destroying me, even though I have not taken this drug in almost 3 years. I still look for ways to get ahold of Effexor and how to get prescriptions. Do not sell your soul to this drug.","an overdose that put me into a coma for a week and the realization that years of my life were erased by the time i decided to become sober in 2013.","Symptoms are bad: Presence of negative verb + symptoms",coma,effexor
"I was the first patient at the age of 18 in my doctor's clinic to take this pill in 2000. It was ineffective for me until put on a ridiculously high dosage. When I reached this high dosage, I lost track of time, what day it was, where I was, I would pass out constantly wherever I was sitting, I couldn't react to emotions or feel emotional in the slightest (for ex. my friend committed suicide while I was on Effexor XR I could not cry - I felt completely and utterly numb). When I was being taken off this product I had severe withdrawl symptoms: seizing/spasming of my entire body, feelings of zapping/electrocution in the head, sounds of electric buzzing/zapping, nausea, headaches, dizziness, diarrhea, vomiting, periods of unconsciousness - I was bedridden for 5 days. Long-term side effects: uncontrollable twitches. I would never recommend this medication to anyone.","when i was being taken off this product i had severe withdrawl symptoms: seizing/spasming of my entire body, feelings of zapping/electrocution in the head, sounds of electric buzzing/zapping, nausea, headaches, dizziness, diarrhea, vomiting, periods of unconsciousness - i was bedridden for 5 days.","Symptoms are bad: Presence of negative verb + symptoms",diarrhea,effexor
"DO NOT START THIS MEDICINE UNLESS YOU PLAN ON TAKING IT FOREVER. Getting off of it is horrible. I have been taking it about 2 years,first for hot flashes caused by cancer preventing medicine, then I stayed on it because it helped me with my job stress. I have been trying to get off of it for about 3 months. I can go 2 days between pills but when it gets to 3 days I get horrible nausea, dizziness, lightheadedness, fatigue so bad I have to drag myself out of bed. I literally thought I was dying until I figured out that it was going without the drug that was causing the problems. I will definitely be sharing my experiences with my oncologist who prescribed it at my next check up.","i can go 2 days between pills but when it gets to 3 days i get horrible nausea, dizziness, lightheadedness, fatigue so bad i have to drag myself out of bed.","Symptoms are bad: Presence of negative verb + symptoms",dizziness,effexor
"this is the worst medication I have ever been on sweating, shaking, paranoia,headache, twitching in mouth & eye","this is the worst medication i have ever been on sweating, shaking, paranoia,headache, twitching in mouth & eye","Symptoms are possibly bad: symptoms mentioned but no verb found",headache,effexor
"Being prescribed and put on this medication and weaning myself off was awful.  I dealt with nausea and dizziness like none other.  When the medication stopped working for me, I stayed on it just because the side-effects of going off of it were too bad. I knew I'd have to take a week off work to wean myself off.  And when I did eventually get the time, I did need about a week to fully recover from going off the medication.  I've been on Zoloft, Seroquel, Effexor, Fetzima, and Prozac and none of these other medications had the awful side effects that Effexor did.  My major problem was just the side-effects.","i dealt with nausea and dizziness like none other.","Symptoms are possibly bad: symptoms mentioned but no verb found",dizziness,effexor
"I had a bad experience with Effexor. It made me yawn literally every 5 minutes. It does more for anxiety than depression. I much prefer Cymbalta or Zoloft as an alternative to Effexor.","it does more for anxiety than depression.","Symptoms are possibly bad: symptoms mentioned but no verb found",anxiety,effexor
"Effexor XR was prescribed to me for depression, hot flashes, and panic attacks. this medication has helped me more than any other of its kind. I would highly recommend it if your current antidepressant, antianxiety, or hormone therapy isn't working for you. ","effexor xr was prescribed to me for depression, hot flashes, and panic attacks.","Symptoms are possibly bad: symptoms mentioned but no verb found","hot flashes",effexor
"Effexor XR was prescribed to me for depression, hot flashes, and panic attacks. this medication has helped me more than any other of its kind. I would highly recommend it if your current antidepressant, antianxiety, or hormone therapy isn't working for you. ","i would highly recommend it if your current antidepressant, antianxiety, or hormone therapy isn\'t working for you. ","Symptoms are ok: Presence of positive verb + symptoms",anxiety,effexor
"Effexor has been really good. I've had depression, PTSD, anxiety, and never wanted to take pills for it, but after a major upsetting event in my life, I pretty much had no choice and was forced into it by loved ones. Crappy time emotionally. But, I was SURPRISED by the results. It works. It doesn't make my life 100% amazing or even 75% and all problems go away instantly in any means, I get really sad still, but I can function. For anyone struggling to see improvement when taking anti-depressants, please don't give up. After my first drug didn't work, I was so done with it all but agreed to try ONE more time for something and it's working. There are so many anti-depressants out there...don't give up hope.","i\'ve had depression, ptsd, anxiety, and never wanted to take pills for it, but after a major upsetting event in my life, i pretty much had no choice and was forced into it by loved ones.","Symptoms are possibly bad: symptoms mentioned but no verb found",anxiety,effexor
"My experience after my first dose:
The only way I can describe the side effects of this drug is like getting food poisoning, the flu and a migraine combined with taking a sleeping pill.. thats what it feels like within an hour of taking one 75mg capsule. 

I was dry heaving, had diarrhea and cramps for 2 days, headaches and major drowsiness. I felt like I was hung over from a week in Vegas.

The side effects were far worse then having depression. ","i was dry heaving, had diarrhea and cramps for 2 days, headaches and major drowsiness.","Symptoms are possibly bad: symptoms mentioned but no verb found",diarrhea,effexor
"I got brainwashed into a 1 year effexor treatment and it worked like a charm. 7 years of depression and anxiety simply vanished on the first pill. So did my interest in sex, erections, empathy and emotional depth, which were supposed to re-emerge after treatment so I didn't complain about it at the time. I also had an uncharacteristically positive disposition on the matter (high on serotonin) and I was afraid of going back to depression so I even passed down on the possibility of switching meds. When I consulted with the doc regarding going off the drug at the 1 year marker, he actually suggested prolonging treatment by another year since ""effexor is harmless"". I refused because the unexistent libido and cold erections were not something i was willing to endure for more than a year and i felt perfectly fine mood-wise. So, the doc told me to taper, I went cold turkey and through the typical withdrawal of hellish nightmares, dizzyness, brain zaps, irritability and inability to think for a week. One and a half year off the meds i got the empathy back... From my new psychiatrist that is, who keeps hearing about how my libido, erections and interest in activities are still far from normal and how his 3 colleagues which i previously tried to consult on the matter tried to force-convince me, first visit, that it's just me or i'm still depressed and effexor had nothing to do with it. He was sceptic at first and then stumbled upon some research which backed me up on the sexual stuff. He assumes that it's not permanent and has no idea on what to do to help, other than offer me some drug treatment(...), bear with my obsessive monologues of rage and regret and suggest alternative methods like acupuncture, which i haven't yet gotten around to trying due to procrastinating over the agonizing uncertainty. Mending a busted leg at the expense of an arm is hardly my idea of healing and a lifetime of unreasonable medication is simply unacceptable to me, so effexor and the like...NO!","7 years of depression and anxiety simply vanished on the first pill.","Symptoms are possibly bad: symptoms mentioned but no verb found",anxiety,effexor
"I got brainwashed into a 1 year effexor treatment and it worked like a charm. 7 years of depression and anxiety simply vanished on the first pill. So did my interest in sex, erections, empathy and emotional depth, which were supposed to re-emerge after treatment so I didn't complain about it at the time. I also had an uncharacteristically positive disposition on the matter (high on serotonin) and I was afraid of going back to depression so I even passed down on the possibility of switching meds. When I consulted with the doc regarding going off the drug at the 1 year marker, he actually suggested prolonging treatment by another year since ""effexor is harmless"". I refused because the unexistent libido and cold erections were not something i was willing to endure for more than a year and i felt perfectly fine mood-wise. So, the doc told me to taper, I went cold turkey and through the typical withdrawal of hellish nightmares, dizzyness, brain zaps, irritability and inability to think for a week. One and a half year off the meds i got the empathy back... From my new psychiatrist that is, who keeps hearing about how my libido, erections and interest in activities are still far from normal and how his 3 colleagues which i previously tried to consult on the matter tried to force-convince me, first visit, that it's just me or i'm still depressed and effexor had nothing to do with it. He was sceptic at first and then stumbled upon some research which backed me up on the sexual stuff. He assumes that it's not permanent and has no idea on what to do to help, other than offer me some drug treatment(...), bear with my obsessive monologues of rage and regret and suggest alternative methods like acupuncture, which i haven't yet gotten around to trying due to procrastinating over the agonizing uncertainty. Mending a busted leg at the expense of an arm is hardly my idea of healing and a lifetime of unreasonable medication is simply unacceptable to me, so effexor and the like...NO!","i also had an uncharacteristically positive disposition on the matter (high on serotonin) and i was afraid of going back to depression so i even passed down on the possibility of switching meds.","Symptoms are possibly bad: symptoms mentioned but no verb found",itching,effexor
"I got brainwashed into a 1 year effexor treatment and it worked like a charm. 7 years of depression and anxiety simply vanished on the first pill. So did my interest in sex, erections, empathy and emotional depth, which were supposed to re-emerge after treatment so I didn't complain about it at the time. I also had an uncharacteristically positive disposition on the matter (high on serotonin) and I was afraid of going back to depression so I even passed down on the possibility of switching meds. When I consulted with the doc regarding going off the drug at the 1 year marker, he actually suggested prolonging treatment by another year since ""effexor is harmless"". I refused because the unexistent libido and cold erections were not something i was willing to endure for more than a year and i felt perfectly fine mood-wise. So, the doc told me to taper, I went cold turkey and through the typical withdrawal of hellish nightmares, dizzyness, brain zaps, irritability and inability to think for a week. One and a half year off the meds i got the empathy back... From my new psychiatrist that is, who keeps hearing about how my libido, erections and interest in activities are still far from normal and how his 3 colleagues which i previously tried to consult on the matter tried to force-convince me, first visit, that it's just me or i'm still depressed and effexor had nothing to do with it. He was sceptic at first and then stumbled upon some research which backed me up on the sexual stuff. He assumes that it's not permanent and has no idea on what to do to help, other than offer me some drug treatment(...), bear with my obsessive monologues of rage and regret and suggest alternative methods like acupuncture, which i haven't yet gotten around to trying due to procrastinating over the agonizing uncertainty. Mending a busted leg at the expense of an arm is hardly my idea of healing and a lifetime of unreasonable medication is simply unacceptable to me, so effexor and the like...NO!","so, the doc told me to taper, i went cold turkey and through the typical withdrawal of hellish nightmares, dizzyness, brain zaps, irritability and inability to think for a week.","Symptoms are possibly bad: symptoms mentioned but no verb found",irritability,effexor
