Post,Sentence,SideEffectsStatus,Drug
"I have been most fortunate as I am almost finished with my drug therapy, have had my first mamogram since surgery (all clear) and have had no known side effects; if the small amount of fatigue is from the medication, I can live with that until my therapy with the drug is complete; then be amazed when the fatigue disappears.  this has been a very successful drug in my particular case","i have been most fortunate as i am almost finished with my drug therapy, have had my first mamogram since surgery (all clear) and have had no known side effects; if the small amount of fatigue is from the medication, i can live with that until my therapy with the drug is complete; then be amazed when the fatigue disappears.","Side effects Present - because symptoms mentioned",armimidex
"I was fine using Arimidex until they changed to a generic...my side effects are getting to be severe.  Hard to tell if I have a serious virus or it is from my medication.  I have every side effect that is displayed above...what is in the generic?  Absolutely not the same thing!","i was fine using arimidex until they changed to a generic...my side effects are getting to be severe.","Side effects Present - because of no direct inverter word before ",armimidex
"In my fourth year with lots of severe roving bone pain and now muscle pain has started. Anyone know if any of the side effects are permanent?","anyone know if any of the side effects are permanent?","Side effects Present - because of no direct inverter word before ",armimidex
"The only side effects I have are extreme hot flashes, and mental confusion at times.  1 more year to go. I was having pain, swelling and numbness in my hands but that stopped once I quit taking glucosamine.","the only side effects i have are extreme hot flashes, and mental confusion at times.","Side effects Present - because symptoms mentioned",armimidex
"I had less than stage 1 breast cancer.  Lumpectomy and radiation and then began taking Arimidex.  After one week I lost my will to live. Depression, joint pain so severe I could not sleep. After 9 days I stopped on my own.  Dr. is recommending Tamoxofen but reviews are similar with side effects so I am going to heal with vitamins, exercise and diet.
","dr. is recommending tamoxofen but reviews are similar with side effects so i am going to heal with vitamins, exercise and diet.
","Side effects Present - because of no direct inverter word before ",armimidex
"Early stage BC and the tumor was small. Biopsy Nov 2010, Lumpectomy Dec 2010. Radiation Feb-March 2011.  OncoType DX test results showed I was at low risk of the cancer coming back. I had reservations about Arimidex  because of the bone loss. I already have osteoporosis, but the oncologist insisted I had to take it. Said I had ""no choice"". I started taking the generic form at the end of April 2011 and within two weeks started getting bad side effects.
Pain in my arms and legs (couldn't stand for more than 5 mins), especially knees and elbows which swelled up. Dizziness, fatigue, weakness, headache (which went away eventually,) not sleeping, blurred vision, depression, absolutely no appetite, weight loss, hair loss, affected breast swelled up and was very painful. Then I started to get tingling and numbness in my hand which went up my arm. The patient information says this is an ""unlikely but very serious side affect"" and to call doctor immediately.
Oncologist said to stop taking it and see if the side effects go away. They did, and she said that I didn't need to take it. Said I was borderline whether I needed to or not. Hmmm. She didn't put me on anything else.
Anyway I know some are asking what happens when you stop taking it and I am happy to report that all the side effects have gone, although the appetite is taking a while to come back, but I feel better than I have in a very long time. Of course I was only on it for a little over two months.
Good luck and bottom line. Make your doctor listen to you.","i started taking the generic form at the end of april 2011 and within two weeks started getting bad side effects.","Side effects Present - because of no direct inverter word before ",armimidex
"Early stage BC and the tumor was small. Biopsy Nov 2010, Lumpectomy Dec 2010. Radiation Feb-March 2011.  OncoType DX test results showed I was at low risk of the cancer coming back. I had reservations about Arimidex  because of the bone loss. I already have osteoporosis, but the oncologist insisted I had to take it. Said I had ""no choice"". I started taking the generic form at the end of April 2011 and within two weeks started getting bad side effects.
Pain in my arms and legs (couldn't stand for more than 5 mins), especially knees and elbows which swelled up. Dizziness, fatigue, weakness, headache (which went away eventually,) not sleeping, blurred vision, depression, absolutely no appetite, weight loss, hair loss, affected breast swelled up and was very painful. Then I started to get tingling and numbness in my hand which went up my arm. The patient information says this is an ""unlikely but very serious side affect"" and to call doctor immediately.
Oncologist said to stop taking it and see if the side effects go away. They did, and she said that I didn't need to take it. Said I was borderline whether I needed to or not. Hmmm. She didn't put me on anything else.
Anyway I know some are asking what happens when you stop taking it and I am happy to report that all the side effects have gone, although the appetite is taking a while to come back, but I feel better than I have in a very long time. Of course I was only on it for a little over two months.
Good luck and bottom line. Make your doctor listen to you.","oncologist said to stop taking it and see if the side effects go away.","Side effects Present - because of no direct inverter word before ",armimidex
"Early stage BC and the tumor was small. Biopsy Nov 2010, Lumpectomy Dec 2010. Radiation Feb-March 2011.  OncoType DX test results showed I was at low risk of the cancer coming back. I had reservations about Arimidex  because of the bone loss. I already have osteoporosis, but the oncologist insisted I had to take it. Said I had ""no choice"". I started taking the generic form at the end of April 2011 and within two weeks started getting bad side effects.
Pain in my arms and legs (couldn't stand for more than 5 mins), especially knees and elbows which swelled up. Dizziness, fatigue, weakness, headache (which went away eventually,) not sleeping, blurred vision, depression, absolutely no appetite, weight loss, hair loss, affected breast swelled up and was very painful. Then I started to get tingling and numbness in my hand which went up my arm. The patient information says this is an ""unlikely but very serious side affect"" and to call doctor immediately.
Oncologist said to stop taking it and see if the side effects go away. They did, and she said that I didn't need to take it. Said I was borderline whether I needed to or not. Hmmm. She didn't put me on anything else.
Anyway I know some are asking what happens when you stop taking it and I am happy to report that all the side effects have gone, although the appetite is taking a while to come back, but I feel better than I have in a very long time. Of course I was only on it for a little over two months.
Good luck and bottom line. Make your doctor listen to you.","anyway i know some are asking what happens when you stop taking it and i am happy to report that all the side effects have gone, although the appetite is taking a while to come back, but i feel better than i have in a very long time.","Side effects Present - because of no direct inverter word before ",armimidex
"After 2+ years the drug has done its job, but the side effects make me wonder if its worth it. Experience most of the usual side effects but the Vaginal dryness along with the painfull sex is Very disappointing. Hot flashes are getting worse. I feel like I am being De-Womanized...","after 2+ years the drug has done its job, but the side effects make me wonder if its worth it.","Side effects Present - because of no direct inverter word before ",armimidex
"After 2+ years the drug has done its job, but the side effects make me wonder if its worth it. Experience most of the usual side effects but the Vaginal dryness along with the painfull sex is Very disappointing. Hot flashes are getting worse. I feel like I am being De-Womanized...","experience most of the usual side effects but the vaginal dryness along with the painfull sex is very disappointing.","Side effects Present - because symptoms mentioned",armimidex
"I have had severe reactions to this drug. My lymphedema worsened, carpal tunnel worsened, night sweats were severe, depression, confusion. I had a horrible time with my memory although I don't see memory loss as a side effect of this drug. I took Arimidex for about 2 months before I finally said no more. It has been 4 weeks since I stopped the Arimidex - all symptoms have either stopped or lessened substantially.

My oncologist is now prescribing tamoxifen but I haven't started it yet. Oh joy. ","it has been 4 weeks since i stopped the arimidex - all symptoms have either stopped or lessened substantially.","Side effects Present - because of no direct inverter word before ",armimidex
"I had a lumpectomy and radiation therapy before beginning the hormone blocking drug therapy in Jan 2010. So far the drug appears to be effective.  I was warned that side effects include weight gain and increased hot flashes.  Unfortunately I am experiencing both side effects.  I am taking more vitimins now including more D and E but I have experieced an increase in bone loss (to the extent that I now have full on oesteoporosis in my spine) and am looking at other therapies for that.  What is most disturbing is the weight gain.  I have fought weight gain since turning 50 but at 61 when I started the drug therapy I was able to manage that weight gain.  I can no longer due so and am very unhappy about that. Other suspicious side effects include one severe dizzy spell and pain in my foot though I do not have other noticiable joint pain.  I have increased my excercise to include daily walking which helps with overall mental health and to stave off depression.","i was warned that side effects include weight gain and increased hot flashes.","Side effects Present - because symptoms mentioned",armimidex
"I had a lumpectomy and radiation therapy before beginning the hormone blocking drug therapy in Jan 2010. So far the drug appears to be effective.  I was warned that side effects include weight gain and increased hot flashes.  Unfortunately I am experiencing both side effects.  I am taking more vitimins now including more D and E but I have experieced an increase in bone loss (to the extent that I now have full on oesteoporosis in my spine) and am looking at other therapies for that.  What is most disturbing is the weight gain.  I have fought weight gain since turning 50 but at 61 when I started the drug therapy I was able to manage that weight gain.  I can no longer due so and am very unhappy about that. Other suspicious side effects include one severe dizzy spell and pain in my foot though I do not have other noticiable joint pain.  I have increased my excercise to include daily walking which helps with overall mental health and to stave off depression.","unfortunately i am experiencing both side effects.","Side effects Present - because of no direct inverter word before ",armimidex
"I had a lumpectomy and radiation therapy before beginning the hormone blocking drug therapy in Jan 2010. So far the drug appears to be effective.  I was warned that side effects include weight gain and increased hot flashes.  Unfortunately I am experiencing both side effects.  I am taking more vitimins now including more D and E but I have experieced an increase in bone loss (to the extent that I now have full on oesteoporosis in my spine) and am looking at other therapies for that.  What is most disturbing is the weight gain.  I have fought weight gain since turning 50 but at 61 when I started the drug therapy I was able to manage that weight gain.  I can no longer due so and am very unhappy about that. Other suspicious side effects include one severe dizzy spell and pain in my foot though I do not have other noticiable joint pain.  I have increased my excercise to include daily walking which helps with overall mental health and to stave off depression.","other suspicious side effects include one severe dizzy spell and pain in my foot though i do not have other noticiable joint pain.","Side effects Present - because symptoms mentioned",armimidex
"Lumpectomy Feb 2009.  Started Arimidex (now generic) March 1, 2009.  Many side effects as everyone else but I find that it's getting worse instead of better.  I thought after being on it for a while pains would taper off or I would get used to it.  But not so - hair thinning is getting worse, getting more tired, feet and hands and legs hurt more, etc.  Will all this go away after 3 years when I'm finished with it?  I have almost 3 years to go. What will I be like after being on it for 5 years?  I'll not be able to get out of a chair at all.  But I'm afraid to stop, will continue to suffer and take the pill.  ","many side effects as everyone else but i find that it\'s getting worse instead of better.","Side effects Present - because of no direct inverter word before ",armimidex
"They should have named it ""ARIMIDEATH"" This is a horrible med and causes prolonged painful side effects. Would not give this to my worst enemy. Don't know why it is on the market, should be banned!!!","they should have named it ""arimideath"" this is a horrible med and causes prolonged painful side effects.","Side effects Present - because symptoms mentioned",armimidex
"I have been on this drug almost 4yrs. As with many other ladies I have experienced joint pain in my hips and knees.  I also have noticed hair loss, insomnia and constipation. I was part of a clinical study group and will be taking arimidex for 5 yrs.  If it does the job it will be well worth some of the side effects.","if it does the job it will be well worth some of the side effects.","Side effects Present - because of no direct inverter word before ",armimidex
"I took this med following finish of breast cancer treatment for three years.  I had no adverse side effects.  I've been cancer free for 11 years.","i had no adverse side effects.","Possibly no side effects",armimidex
"I have been on Arimidex for only 10 months.I have experienced mini hot flashes that are easing up now, moodiness that is managable because I know 'why',vaginal dryness,and muscle pain in my legs.My joints ache but I also have RA, I do have great fatique, but I also have CFS, so who knows what all is caused by the Arimidex and what all is from my other health issues.I will fight these side effects and continue the pill if at ALL possible. A pill that helps prevent further cancer, think about it......that is a God sent.I thank God I am here to take it! ","i have been on arimidex for only 10 months.i have experienced mini hot flashes that are easing up now, moodiness that is managable because i know \'why\',vaginal dryness,and muscle pain in my legs.my joints ache but i also have ra, i do have great fatique, but i also have cfs, so who knows what all is caused by the arimidex and what all is from my other health issues.i will fight these side effects and continue the pill if at all possible.","Side effects Present - because symptoms mentioned",armimidex
"Double mastectomy in 2009. Started on Arimidex, switched to Tamoxifen now back on Arimidex. Had to stop because of the cost. I found that the side effects were no worse than Tamoxefin. Now I have found Healthwarehouse, an online pharmacy in Ohio highly rated by the better business bureau. They specialize in generic drugs. I get 120pills for $76.00. Hot flashes are less than Tamox, bone pain and insomnia, but I can tolerate anything to keep cancer away.","i found that the side effects were no worse than tamoxefin.","Side effects Present - because of no direct inverter word before ",armimidex
"Started a year and a half ago. I am only 49 now but felt like 90. Really bad joint and muscle pain, esp around hip area, bad flashes, dryness. Everything kind of toned down after a while and with Effexor was doing pretty good. Now the generic is out which is a fraction of the cost and is supposed to be the exact thing. Well it is not. I have had all the symptoms return and then some. Headache, more fatigue, depression, and can hardly walk sometimes. I am very active-dance, ride a bike, walk the dog. I am miserable and not that glad to be alive, because I don't have the energy to enjoy it. I am going to switch to Tamoxifen and if that doesn't improve things then I am rolling the dice.","i have had all the symptoms return and then some.","Side effects Present - because of no direct inverter word before ",armimidex
"I am 52 years old.  I checked the 5 stars for effectiveness because I am hoping and praying that this medicine is working.  I had a mastectomy in 2009 and took the Tamoxifin first, switched to Femera, and now Arimidex.  I have been on the Arimidex for about 6 months and the side effects are no better than the Femara.  I am stiff and sore most of the time, had the weight gain, but the worst of the side effects for me is the memory loss.  They call it ""chemo brain"".  It effects my everyday life, my job, etc.  I am thankful to have read everyone's responses though.  It lets you know that you are not alone.  ","i have been on the arimidex for about 6 months and the side effects are no better than the femara.","Side effects Present - because of no direct inverter word before ",armimidex
"I am 52 years old.  I checked the 5 stars for effectiveness because I am hoping and praying that this medicine is working.  I had a mastectomy in 2009 and took the Tamoxifin first, switched to Femera, and now Arimidex.  I have been on the Arimidex for about 6 months and the side effects are no better than the Femara.  I am stiff and sore most of the time, had the weight gain, but the worst of the side effects for me is the memory loss.  They call it ""chemo brain"".  It effects my everyday life, my job, etc.  I am thankful to have read everyone's responses though.  It lets you know that you are not alone.  ","i am stiff and sore most of the time, had the weight gain, but the worst of the side effects for me is the memory loss.","Side effects Present - because of no direct inverter word before ",armimidex
"They changed my script to generic I have to crush to take or it doesn't disolve in my body. My legs weren't hurting I was feeling better than I had in a while until I discovered why. I have been taking this since mid Nov 2009. So I can't tell how it will do for me.  My hair still doesn't seem like it wants to come back.  My doctor said it was the second half of my chemo, so Ive been preparing for side effects.  I take pain meds for other conditions which helps with the leg pain(bone pain). I'm also having brain issues which I guess is expected from the cancer treatments.  I still have a long way to go with this treatment. 
","my doctor said it was the second half of my chemo, so ive been preparing for side effects.","Side effects Present - because of no direct inverter word before ",armimidex
"I haven't had any side effects. Maybe some joint pain.  I joined an exercise program and it helped my joints.  The cost is the worst thing about Arimidex.","i haven\'t had any side effects.","Possibly no side effects",armimidex
"I have been on Arimidex since November 2007 after lumpectomy, chemotherapy and radiotherapy. My tumour was grade 3. So far no metastases (fingers crossed). 
I did experience frozen and very painful joints after taking it for a month, I felt like an old woman, I could hardly get up from my chair. I searched on Google and I read somewhere that this drug depletes your body from vitamin D (already low in many women with breast cancer) and that Vitamin D could stop the painful side effects. I got a blood test for vitamin D levels and sure enough it was very low. After I talked with my oncologist and we decided to try a high dose of vitamin D. I took 2000 U a day for a few months, which cleared the symptoms and got my vit D blood levels up, now I am on 1000 U a day and doing great. Thought I'd pass on my experience so somebody else can benefit from it.","i searched on google and i read somewhere that this drug depletes your body from vitamin d (already low in many women with breast cancer) and that vitamin d could stop the painful side effects.","Side effects Present - because symptoms mentioned",armimidex
"I have been on Arimidex since November 2007 after lumpectomy, chemotherapy and radiotherapy. My tumour was grade 3. So far no metastases (fingers crossed). 
I did experience frozen and very painful joints after taking it for a month, I felt like an old woman, I could hardly get up from my chair. I searched on Google and I read somewhere that this drug depletes your body from vitamin D (already low in many women with breast cancer) and that Vitamin D could stop the painful side effects. I got a blood test for vitamin D levels and sure enough it was very low. After I talked with my oncologist and we decided to try a high dose of vitamin D. I took 2000 U a day for a few months, which cleared the symptoms and got my vit D blood levels up, now I am on 1000 U a day and doing great. Thought I'd pass on my experience so somebody else can benefit from it.","after i talked with my oncologist and we decided to try a high dose of vitamin d. i took 2000 u a day for a few months, which cleared the symptoms and got my vit d blood levels up, now i am on 1000 u a day and doing great.","Side effects Present - because of no direct inverter word before ",armimidex
"I ahve been on Arimidex for a little under a month now.  The side-effects are unbearable at times.  The worst being that I have become Nocturnal.  I am also experiencing Excruciating Back and Joint Pain.  Thank God for heat pads. Less not forget the drepressing also being in the top ten also.  Hot flashes, Sleeplessness, Bask and Joint pain.  I will endure all this in order to remain CANCER FREE.  God Bless you all. And may this Disease be cured one day.","the side-effects are unbearable at times.","Side effects Present - because of no direct inverter word before ",armimidex
"I have been taking Arimidex for a year now and have experienced only joint pain in my hands, some carpal tunnel syndrome-like symptoms and pain in knees when I sit too long and get up. Similar to other complaints, but otherwise I have no side effects and remain cancer-free.","i have been taking arimidex for a year now and have experienced only joint pain in my hands, some carpal tunnel syndrome-like symptoms and pain in knees when i sit too long and get up.","Side effects Present - because symptoms mentioned",armimidex
"I have been taking Arimidex for a year now and have experienced only joint pain in my hands, some carpal tunnel syndrome-like symptoms and pain in knees when I sit too long and get up. Similar to other complaints, but otherwise I have no side effects and remain cancer-free.","similar to other complaints, but otherwise i have no side effects and remain cancer-free.","No Side Effects",armimidex
"I am an African American who has been on this medication for one year now and I feel great so far no side effects or discomforts","i am an african american who has been on this medication for one year now and i feel great so far no side effects or discomforts","No Side Effects",armimidex
"Took this drug for 6 mos. after chemo and surgery. Hated the side effects. I couldn't
move if I stayed stationary for more than a few minutes. I couln't stand the pain in my fingers,knees and hips. Switched to Tamoxifen and feel great","hated the side effects.","Side effects Present - because of no direct inverter word before ",armimidex
"I have been using this for 15 years.  Same 75 mg
dosage.  No side effects at all.  Was very sad but noticed after about a month that things did not bother me as much.  It was very gradual.  Helped a lot.  No need to try to get off.  Why would anyone try to stop taking a medically necessary prescription?  If your brain has ceased making the necessary amount of serotonin to keep you stable, it is never going to get better.  You need to STAY on your meds.  People have caused their own problems by trying to stop taking meds on their own. Their doctors would have told them that if they had the sense to ask.  ","no side effects at all.","No Side Effects",effexor
"I have been on Effexor for the past 20 yrs. My dosage went up to 300MG.  At one time ten years ago I tried getting off of the drug due to thoughts it was not working with the help of my Dr.  I was introduced to another drug while getting off of Effexor..  Let me tell you that I could only reach down to 150Mg..  I had to stop, My symptoms of depression got so bad that i thought I was going out of my mind with every side effect possible..
I stopt at 150mg with the help of another medication that was substituted.  
I stayed like that until present when my doctor wanted to take me off of the effexor completely..
he told me he would help me..
well let me tell you it has been hell for me. I have feelings worst the the depression I had upon first starting the Effexor..  I have been completely off of the effexor for 3 months now and considering all my new health problems due to the effexor I refuse to get back on it...
I have become a type 3 diabetec, very high blood pressure getting uncontrolable and cholesteral that I do not want to talk about. The nauseous  and headaches I can go on and on.

 PLEASE I RECOMMEND TO GET OFF OF IT, IT IS A LIFE THREATNING  MEDICATION THAT SH0ULD BE TAKEN OFF THE MARKET   
","i had to stop, my symptoms of depression got so bad that i thought i was going out of my mind with every side effect possible..","Side effects Present - because of no direct inverter word before ",effexor
"Made me suicidal and put me in a pyschiatric hospital. Hellis withdrawal and permanent side effects (mainly brain function).","hellis withdrawal and permanent side effects (mainly brain function).","Side effects Present - because of no direct inverter word before ",effexor
"I was the first patient at the age of 18 in my doctor's clinic to take this pill in 2000. It was ineffective for me until put on a ridiculously high dosage. When I reached this high dosage, I lost track of time, what day it was, where I was, I would pass out constantly wherever I was sitting, I couldn't react to emotions or feel emotional in the slightest (for ex. my friend committed suicide while I was on Effexor XR I could not cry - I felt completely and utterly numb). When I was being taken off this product I had severe withdrawl symptoms: seizing/spasming of my entire body, feelings of zapping/electrocution in the head, sounds of electric buzzing/zapping, nausea, headaches, dizziness, diarrhea, vomiting, periods of unconsciousness - I was bedridden for 5 days. Long-term side effects: uncontrollable twitches. I would never recommend this medication to anyone.","when i was being taken off this product i had severe withdrawl symptoms: seizing/spasming of my entire body, feelings of zapping/electrocution in the head, sounds of electric buzzing/zapping, nausea, headaches, dizziness, diarrhea, vomiting, periods of unconsciousness - i was bedridden for 5 days.","Side effects Present - because symptoms mentioned",effexor
"I was the first patient at the age of 18 in my doctor's clinic to take this pill in 2000. It was ineffective for me until put on a ridiculously high dosage. When I reached this high dosage, I lost track of time, what day it was, where I was, I would pass out constantly wherever I was sitting, I couldn't react to emotions or feel emotional in the slightest (for ex. my friend committed suicide while I was on Effexor XR I could not cry - I felt completely and utterly numb). When I was being taken off this product I had severe withdrawl symptoms: seizing/spasming of my entire body, feelings of zapping/electrocution in the head, sounds of electric buzzing/zapping, nausea, headaches, dizziness, diarrhea, vomiting, periods of unconsciousness - I was bedridden for 5 days. Long-term side effects: uncontrollable twitches. I would never recommend this medication to anyone.","long-term side effects: uncontrollable twitches.","Side effects Present - because of no direct inverter word before ",effexor
"Being prescribed and put on this medication and weaning myself off was awful.  I dealt with nausea and dizziness like none other.  When the medication stopped working for me, I stayed on it just because the side-effects of going off of it were too bad. I knew I'd have to take a week off work to wean myself off.  And when I did eventually get the time, I did need about a week to fully recover from going off the medication.  I've been on Zoloft, Seroquel, Effexor, Fetzima, and Prozac and none of these other medications had the awful side effects that Effexor did.  My major problem was just the side-effects.","when the medication stopped working for me, i stayed on it just because the side-effects of going off of it were too bad.","Side effects Present - because of no direct inverter word before ",effexor
"Being prescribed and put on this medication and weaning myself off was awful.  I dealt with nausea and dizziness like none other.  When the medication stopped working for me, I stayed on it just because the side-effects of going off of it were too bad. I knew I'd have to take a week off work to wean myself off.  And when I did eventually get the time, I did need about a week to fully recover from going off the medication.  I've been on Zoloft, Seroquel, Effexor, Fetzima, and Prozac and none of these other medications had the awful side effects that Effexor did.  My major problem was just the side-effects.","i\'ve been on zoloft, seroquel, effexor, fetzima, and prozac and none of these other medications had the awful side effects that effexor did.","Side effects Present - because of no direct inverter word before ",effexor
"Being prescribed and put on this medication and weaning myself off was awful.  I dealt with nausea and dizziness like none other.  When the medication stopped working for me, I stayed on it just because the side-effects of going off of it were too bad. I knew I'd have to take a week off work to wean myself off.  And when I did eventually get the time, I did need about a week to fully recover from going off the medication.  I've been on Zoloft, Seroquel, Effexor, Fetzima, and Prozac and none of these other medications had the awful side effects that Effexor did.  My major problem was just the side-effects.","my major problem was just the side-effects.","Side effects Present - because of no direct inverter word before ",effexor
"My experience after my first dose:
The only way I can describe the side effects of this drug is like getting food poisoning, the flu and a migraine combined with taking a sleeping pill.. thats what it feels like within an hour of taking one 75mg capsule. 

I was dry heaving, had diarrhea and cramps for 2 days, headaches and major drowsiness. I felt like I was hung over from a week in Vegas.

The side effects were far worse then having depression. ","my experience after my first dose:
the only way i can describe the side effects of this drug is like getting food poisoning, the flu and a migraine combined with taking a sleeping pill.. thats what it feels like within an hour of taking one 75mg capsule.","Side effects Present - because of no direct inverter word before ",effexor
"My experience after my first dose:
The only way I can describe the side effects of this drug is like getting food poisoning, the flu and a migraine combined with taking a sleeping pill.. thats what it feels like within an hour of taking one 75mg capsule. 

I was dry heaving, had diarrhea and cramps for 2 days, headaches and major drowsiness. I felt like I was hung over from a week in Vegas.

The side effects were far worse then having depression. ","the side effects were far worse then having depression. ","Side effects Present - because of no direct inverter word before ",effexor
"I have tried so many different meds until I was able to stomach this one. It has helped me, but I also tried 6 different meds that didn't. Everyone is different, so when I finally found one that worked for me I ran with it!
Warning... The withdrawal symptoms are AWFUL and SCAREY! I was released as a patient by my family doctor after he had complications with my mother and she passed. Due to the doctor change my scripts needed an authorized refill. Well, getting a new doctor takes longer then 30 days, so I had no choice but to stop my meds. I WAS SENT TO THE ER BY DAY 3 OF WITHDRAWALS. IT WAS SO INTENSE I DON'T EVEN REMEMBER THE HOSPITAL. 
IF YOU HAVE A CHOICE TRY SOMETHING ELSE FIRST AND THIS AS LAST RESORT!  ","the withdrawal symptoms are awful and scarey!","Side effects Present - because of no direct inverter word before ",effexor
"Dear all, I am sorry to hear/read such as bad negative statements. 

Yes the withdrawn symptoms, yes very difficult to get off the drug BUT you MUST tamper very very slowly. 
I learnt this and I am on and off this drug say once a year and/or when I want, here what I do...

From a health shop I buy some hawthorn herbs capsule (*I need the capsule to be empty*, so I put the hawthorn powder on my cereals –it is good for you, but sue that is not the topic)

Then if I started with 37.5, I open the capsule and divide the content in two>
Take for 5 days
Then>take 2 capsules 37.5 and divide the content in 3 capsule >take for 5/7days

Then you are at 37.5 (one original capsule) > take for at least 10 day (if you need to increase the dosage ...same fashion described, .. 
one 75 capsule, split in two and so on. 

AND TAKE NOTE WRITE ALL DOWN, TIME AND DOSAGE. If you use Effexor XR this way + cognitive therapy = The nightmare is over...live is fabulous again-;) (Well this is my experience anyway)

If you do not do this, yes all that bad stuff happens.
***Felling over optimist and a bit ...to happy. Write down a few notes and read them every morning, i.e. I am so confident because of the drug, don’t go overboard.

This is a great fabulous drug for anxiety/rage and depression.

PS: I have being in other antidepressants >same story.... get a pill cutter in the pharmacy.

Bottom line tampering may take you 3-4 months if you are taking it for 6-7 months, if you are taking for  1-2-3 years, you may need a year to go off WITH NO SIDE EFFECT....TAMPER THE INCREASE-DECREADE DOSE SLOWLY. (Quitting cold turkey...means pure madness do NOT do that).

PS. Tranquilizers ...CAREFUL the addiction is greater than the antidepressant

","yes the withdrawn symptoms, yes very difficult to get off the drug but you must tamper very very slowly.","Side effects Present - because of no direct inverter word before ",effexor
"I started this medication under a year ago. When I first started taking it, I became more suicidal and had a really serious suicide attempt. I was on this for about 4 months with no results. The medication only started to actually work when I added another medication. I went off of it for a while, and experienced really bad withdrawal symptoms. I recently started taking it again, and I am experiencing horrible side effects, including worsening depression and suicidal thoughts.","i went off of it for a while, and experienced really bad withdrawal symptoms.","Side effects Present - because of no direct inverter word before ",effexor
"I started this medication under a year ago. When I first started taking it, I became more suicidal and had a really serious suicide attempt. I was on this for about 4 months with no results. The medication only started to actually work when I added another medication. I went off of it for a while, and experienced really bad withdrawal symptoms. I recently started taking it again, and I am experiencing horrible side effects, including worsening depression and suicidal thoughts.","i recently started taking it again, and i am experiencing horrible side effects, including worsening depression and suicidal thoughts.","Side effects Present - because of no direct inverter word before ",effexor
"The first week after taking Effexor XR I felt normal for the first time in my life. I was 55. It helped my hot flashes, anxiety and depression. I cannot imagine what my life would have been like if I had not been prescribed this medication. There were times when I felt I no longer needed it and when I stopped taking it (weaning myself down to smaller and smaller does) and went through some harsh withdrawal symptoms. I always ended up going back on it because my symptoms returned. Life for me is much nicer because of the Effexor XR. ","there were times when i felt i no longer needed it and when i stopped taking it (weaning myself down to smaller and smaller does) and went through some harsh withdrawal symptoms.","Possibly no side effects",effexor
"The first week after taking Effexor XR I felt normal for the first time in my life. I was 55. It helped my hot flashes, anxiety and depression. I cannot imagine what my life would have been like if I had not been prescribed this medication. There were times when I felt I no longer needed it and when I stopped taking it (weaning myself down to smaller and smaller does) and went through some harsh withdrawal symptoms. I always ended up going back on it because my symptoms returned. Life for me is much nicer because of the Effexor XR. ","i always ended up going back on it because my symptoms returned.","Side effects Present - because of no direct inverter word before ",effexor
"I have been very satisfied with the medication.  However, I was negligent in take the meds for 2 days in a row (I was completely involved with something and just FORGOT)  I will never do that again.   The withdrawal symptoms I experienced were horrendous - involving vomiting, tremendous nausea and compared to the worst kind of flu I ever had.   I have taken measures to remind myself to take the medication so that I never experience that again.   P.S.   I have been on this medication for at least 10 years.","the withdrawal symptoms i experienced were horrendous - involving vomiting, tremendous nausea and compared to the worst kind of flu i ever had.","Side effects Present - because symptoms mentioned",effexor
"When my son was killed 25 years ago I couldn't come out of my depression, which was manageable before.  I tried several medications and had the best results with Effexor.  Twice I have gradually weaned myself off, but eventually my depression became unmanageable; I am convinced my depression is biochemical and will continue to take Effexor as long as I need to.  I've taken 225mg during the day for 25 years, experience no side effects I can't overcome, and am very happy with the results.  I just need help in meeting my copayments.","i\'ve taken 225mg during the day for 25 years, experience no side effects i can\'t overcome, and am very happy with the results.","No Side Effects",effexor
"ve previously used Zoloft, Cipralex, Seroxat for depression and anxiety. Effexor was my last attempt at antidepressants. I've been on a relatively low dose of 75 mg. Used it for approximately one year. Like the other meds, Effexor did next to nothing to improve my depression or alleviate anxiety, except causing me to cry less (instead feelings are bottled up inside) and diminishing my libido. The main difference between Effexor and the other brands is much worse withdrawal symptoms. I've been following my doctor's instructions for weaning off the medicine for three weeks, still I experience debilitating dizziness and what feels like small electric shocks to the brain. Constantly. A truly horrible drug. Can't wait to get it out of my system. ","the main difference between effexor and the other brands is much worse withdrawal symptoms.","Side effects Present - because of no direct inverter word before ",effexor
"Effectiveness of Effexor XR (150 mg daily) for depression:  sadness and crying over nothing was practically eliminated;  enjoyed being with people again;  stopped worrying that something bad was going to happen;  easier to deal with life's difficulties.  Overall I think it was easier for others to be around me and a good drug of choice for the time.

Undesirable side effects:  still had libido, but reduced orgasms to zilch...main reason for going off this drug.  Realistic nightmares the first year or so which diminished over time.  Extreme yawning and felt groggy always.  Dry mouth (which I think is a side effect of most anti-depressants).  A missed dosage (which seldom happened) would make me feel very light-headed and woozy.  Be sure to follow your Doctor's recommendations for changes in dosage (increase or decrease).

Was off Effexor XR for about 9 months. Sex life improved 500%.  Energy level improved and gave me motivation to exercise and lose about 20 lbs.  Other than that, everything irritates me and I am not easy to be around (type A perfectionist that I am).  Back to my MD today.  Am going to try Lexapro.","undesirable side effects:  still had libido, but reduced orgasms to zilch...main reason for going off this drug.","Side effects Present - because of no direct inverter word before ",effexor
